,CDS_uniq,max_lst,min_lst,med_lst,sd_lst
0,38684786040695,299.59909502262434,299.59909502262434,299.59909502262434,0.0
1,38684786040703,301.4342063492066,301.4342063492066,301.4342063492066,0.0
2,38684786062020,300.3690654205607,300.1385221674877,300.1385221674877,0.055805636555593736
3,38684786040737,299.59909502262434,296.7583636363637,299.59909502262434,1.1362925545047826
4,38684783830387,298.8709401709402,298.45222222222225,298.45222222222225,0.19092914918924273
5,38684780119958,298.8709401709402,298.45222222222225,298.45222222222225,0.19092914918924273
6,38684783830288,301.13852173913045,300.3006034482757,300.3006034482757,0.3858138732903966
7,38684783830411,300.3006034482757,300.3006034482757,300.3006034482757,0.0
8,38684786059869,300.3006034482757,300.3006034482757,300.3006034482757,0.0
9,38684786040778,303.9114068441065,303.9114068441065,303.9114068441065,0.0
10,38684780119875,303.9114068441065,303.9114068441065,303.9114068441065,0.0
11,38684786062046,304.1786100386102,302.88824902723763,302.88824902723763,0.43863839845907904
12,38684783830254,301.8403137254902,299.15968127490044,301.8403137254902,0.36989267503671225
13,38684786040752,302.3830830039525,302.3830830039525,302.3830830039525,7.62939453125e-06
14,38684786093496,303.2790874524713,303.2790874524713,303.2790874524713,0.0
15,38684786041149,304.1786100386102,304.1786100386102,304.1786100386102,0.0
16,38684786113252,297.58708487084857,297.58708487084857,297.58708487084857,0.0
17,38684786089569,297.58708487084857,297.58708487084857,297.58708487084857,0.0
18,38684780120386,299.8092682926829,299.8092682926829,299.8092682926829,0.0
19,38684780102103,301.13852173913045,298.4683950617283,298.4683950617283,1.1508708841527575
20,38684780107300,301.13852173913045,298.4683950617283,298.4683950617283,1.1508708841527575
21,38684786040828,296.9089592760181,296.9089592760181,296.9089592760181,0.0
22,38684786040836,301.13852173913045,298.4683950617283,301.13852173913045,1.1561987669737226
23,38684786040968,301.27240816326537,301.27240816326537,301.27240816326537,0.0
24,38684786112601,301.3193650793652,301.3193650793652,301.3193650793652,6.229374549314316e-06
25,38684783830064,304.5536964980545,304.5536964980545,304.5536964980545,0.0
26,38684786104673,303.6673076923077,303.2790874524713,303.2790874524713,0.16810429488058695
27,38684786040935,302.88824902723763,302.88824902723763,302.88824902723763,0.0
28,38684786040950,299.15968127490044,299.15968127490044,299.15968127490044,0.0
29,38684786062038,302.90023437499997,302.90023437499997,302.90023437499997,3.2531847588441535e-06
30,38684786041545,302.90023437499997,302.90023437499997,302.90023437499997,6.607249479556569e-06
31,38684786040984,301.879841897233,301.879841897233,301.879841897233,0.0
32,38684780111427,299.4939795918367,299.43419689119173,299.4939795918367,0.029473268772932965
33,38684780118141,303.47214007782117,303.47214007782117,303.47214007782117,0.0
34,38684780118133,303.47214007782117,303.47214007782117,303.47214007782117,0.0
35,38684786041347,302.6079389312978,302.6079389312978,302.6079389312978,5.3947966093944364e-06
36,38684786059844,299.8510077519379,297.06386100386106,299.8510077519379,1.0056059255661929
37,38684783831765,298.697751004016,298.697751004016,298.697751004016,5.8731106484947285e-06
38,38684786041040,299.8510077519379,299.8510077519379,299.8510077519379,0.0
39,38684783830437,301.88266666666686,301.27240816326537,301.88266666666686,0.2936603489799121
40,38684780101352,301.88266666666686,301.27240816326537,301.88266666666686,0.2936603489799121
41,38684780123117,300.01463829787247,300.01463829787247,300.01463829787247,6.229374549314316e-06
42,38684780123265,300.01463829787247,300.01463829787247,300.01463829787247,6.229374549314316e-06
43,38684786059828,299.9445283018867,298.95013452914793,298.95013452914793,0.4837510507389029
44,38684786113997,299.746066350711,293.5642592592593,298.95013452914793,2.5248304289054553
45,38684786041073,300.5116935483871,299.0880869565218,300.5116935483871,0.6710945832432735
46,38684786041115,298.6236290322579,298.6236290322579,298.6236290322579,0.0
47,38684786041123,299.9854700854701,299.9854700854701,299.9854700854701,0.0
48,38684786040760,302.63555555555564,302.63555555555564,302.63555555555564,4.152916366209544e-06
49,38684786041156,300.8485039370078,300.8485039370078,300.8485039370078,0.0
50,38684786059851,300.2082296650717,299.3628155339807,299.3628155339807,0.2606641417169481
51,38684786041230,298.5662135922331,298.5662135922331,298.5662135922331,5.634681288726779e-06
52,38684786041008,299.7259047619045,291.6264114832538,298.95013452914793,2.58321525247859
53,38684786041602,303.9114068441065,303.53618320610667,303.9114068441065,0.13983759359819642
54,38684786059885,302.3990697674418,302.3990697674418,302.3990697674418,5.7672801667667724e-06
55,38684786040943,302.3990697674418,302.3990697674418,302.3990697674418,5.7672801667667724e-06
56,38684780101337,301.8403137254902,301.8403137254902,301.8403137254902,0.0
57,38684780127530,303.8803100775194,303.8803100775194,303.8803100775194,8.529922399520072e-06
58,38684786041305,298.368,298.368,298.368,0.0
59,38684786041321,299.7342424242424,297.1526041666665,299.7342424242424,0.5158792557321207
60,38684783833407,299.7342424242424,297.1526041666665,299.7342424242424,0.8775882566605074
61,38684786099154,303.9114068441065,303.9114068441065,303.9114068441065,0.0
62,38684780117465,300.886913580247,300.886913580247,300.886913580247,0.0
63,38684786040877,300.886913580247,300.886913580247,300.886913580247,3.596531072929624e-06
64,38684786041339,299.52137614678895,298.1008376963351,299.52137614678895,0.5985084254990951
65,38684786062053,302.67317829457386,302.67317829457386,302.67317829457386,6.229374549314316e-06
66,38684783830429,295.8835807860263,295.8835807860263,295.8835807860263,3.1816774605876888e-06
67,38684786102479,297.8865546218489,297.8865546218489,297.8865546218489,0.0
68,38684783833241,300.2082296650717,299.9445283018867,300.2082296650717,0.08324195244236196
69,38684786041362,299.5638793103448,299.5638793103448,299.5638793103448,0.0
70,38684780117572,302.88824902723763,302.88824902723763,302.88824902723763,0.0
71,38684786041586,302.99538461538475,302.99538461538475,302.99538461538475,0.0
72,38684786062061,299.022092050209,297.8865546218489,299.022092050209,0.35686498497321917
73,38684783830403,303.3085057471263,302.7773384030417,303.3085057471263,0.24658422288365822
74,38684786041412,304.5536964980545,304.5536964980545,304.5536964980545,0.0
75,38684780117515,301.88266666666686,301.27240816326537,301.88266666666686,0.23264277179441095
76,38684786041503,301.88266666666686,301.27240816326537,301.88266666666686,0.23264277179441095
77,38684786041016,300.0866079295154,300.0866079295154,300.0866079295154,0.0
78,38684786041420,302.90023437499997,299.8092682926829,299.8092682926829,1.2363864329328191
79,38684780117531,300.1593600000001,300.1593600000001,300.1593600000001,1.3214498959113138e-05
80,38684786040919,301.0468774703556,301.0468774703556,301.0468774703556,0.0
81,38684786041438,298.596558139535,298.596558139535,298.596558139535,6.506369517688307e-06
82,38684786089585,300.8384552845529,300.8384552845529,300.8384552845529,0.0
83,38684783834082,302.90023437499997,302.90023437499997,302.90023437499997,0.0
84,38684786041446,300.7533333333335,300.7533333333335,300.7533333333335,0.0
85,38684786093488,300.7533333333335,300.7533333333335,300.7533333333335,0.0
86,38684786041255,303.26286821705406,303.26286821705406,303.26286821705406,0.0
87,38684786097919,299.8092682926829,299.8092682926829,299.8092682926829,0.0
88,38684780117473,298.95013452914793,298.95013452914793,298.95013452914793,6.229374549314316e-06
89,38684783834769,304.79952569169944,304.79952569169944,304.79952569169944,7.82759362857936e-06
90,38684786041271,299.85971291866025,299.5395744680851,299.5395744680851,0.14257742729734824
91,38684786041206,300.886913580247,300.886913580247,300.886913580247,0.0
92,38684786041065,298.06899521531074,298.06899521531074,298.06899521531074,0.0
93,38684783839081,299.42368932038823,298.368,299.42368932038823,0.49335272899382127
94,38684786062079,299.42368932038823,299.42368932038823,299.42368932038823,7.62939453125e-06
95,38684786041511,301.4089682539681,301.4089682539681,301.4089682539681,0.0
96,38684786041487,302.7773384030417,302.7773384030417,302.7773384030417,5.7672801667667724e-06
97,38684786089775,301.4342063492066,298.1987654320987,301.4342063492066,1.6161906988960484
98,38684786059901,300.4404273504272,300.4404273504272,300.4404273504272,0.0
99,38103893830445,301.88266666666686,301.88266666666686,301.88266666666686,0.0
100,38103896069561,299.42368932038823,299.42368932038823,299.42368932038823,0.0
101,38745343890019,299.42368932038823,299.42368932038823,299.42368932038823,0.0
102,38684786041289,301.879841897233,301.879841897233,301.879841897233,0.0
103,38684786041560,299.5638793103448,299.5638793103448,299.5638793103448,0.0
104,38684786041578,301.12521739130426,301.12521739130426,301.12521739130426,0.0
105,38684786040851,300.1385221674877,300.1385221674877,300.1385221674877,1.1196890040669903e-05
106,38684786041594,301.12521739130426,301.12521739130426,301.12521739130426,3.4119689598080286e-06
107,38684786041529,299.9445283018867,299.9445283018867,299.9445283018867,5.086263020833333e-06
108,38684786041610,300.3454077253219,300.3454077253219,300.3454077253219,4.404832986371046e-06
109,38684786115901,302.3830830039525,302.3830830039525,302.3830830039525,6.229374549314316e-06
110,38684786041685,299.7469607843135,296.41786407766983,296.41786407766983,1.3072587961223125
111,38684786041701,301.96038314176224,301.96038314176224,301.96038314176224,7.62939453125e-06
112,38684786059919,301.96038314176224,298.4683950617283,301.96038314176224,0.4492263195136933
113,38684783830205,300.7579757085021,300.7579757085021,300.7579757085021,0.0
114,38684786040893,303.8803100775194,303.8803100775194,303.8803100775194,3.4119689598080286e-06
115,38684783830031,303.26286821705406,301.3193650793652,303.26286821705406,0.9617846226203659
116,38684786041727,299.3628155339807,299.3628155339807,299.3628155339807,0.0
117,38684786041131,298.697751004016,298.697751004016,298.697751004016,0.0
118,38684786113245,298.5662135922331,298.5662135922331,298.5662135922331,5.9097035922354386e-06
119,38684780132241,303.3085057471263,303.3085057471263,303.3085057471263,5.7672801667667724e-06
120,38769270132183,304.79952569169944,304.79952569169944,304.79952569169944,0.0
121,38684783830197,296.6947136563875,296.6947136563875,296.6947136563875,0.0
122,38684786041644,297.24966183574895,297.24966183574895,297.24966183574895,0.0
123,38103893830361,298.8709401709402,298.45222222222225,298.45222222222225,0.17407767880664793
124,38103893830395,304.1786100386102,304.1786100386102,304.1786100386102,0.0
125,38684780123505,303.9114068441065,303.9114068441065,303.9114068441065,0.0
126,38684780117523,299.022092050209,297.8865546218489,299.022092050209,0.35686498497321917
127,38684780117499,297.2918222222224,294.3156950672646,297.2918222222224,1.4508560998477469
128,38771310137307,302.99538461538475,302.99538461538475,302.99538461538475,0.0
